state-province,web_pages,alpha_two_code,country,name,domains,
Punjab,http://www.davietjal.org/,IN,India,DAV Institute of Engineering & Technology,davietjal.org,
Punjab,http://www.lpu.in/,IN,India,Lovely Professional University,lpu.in,
null,https://somaiya.edu/,IN,India,Somaiya Vidyavihar,somaiya.edu,
Haryana,http://www.ncuindia.edu/,IN,India,NorthCap University,ncuindia.edu,
Gujarat,http://www.ddu.ac.in/,IN,India,Dharamsinh Desai University,ddu.ac.in,
Andhra Pradesh,http://ntruhs.ap.nic.in/,IN,India,University of Health Sciences Andhra Pradesh,ntruhs.ap.nic.in,
null,http://www.aaidu.org/,IN,India,Allahabad Agricultural Institute, Deemed University,aaidu.org,
Assam,http://www.aau.ac.in/,IN,India,Assam Agricultural University,aau.ac.in,
Gujarat,http://www.ahduni.edu.in/,IN,India,Ahmedabad University,ahduni.edu.in,
null,http://www.aiims.ac.in/,IN,India,All India Institute of Medical Sciences,aiims.ac.in,
null,http://www.aisectuniversity.ac.in/,IN,India,AISECT University,aisectuniversity.ac.in,
Tamil Nadu,http://www.alagappauniversity.ac.in/,IN,India,Alagappa University,alagappauniversity.ac.in,
Uttar Pradesh,http://www.alldunivpio.org/,IN,India,Allahabad University,alldunivpio.org,
null,http://www.altmeduniversity.com/,IN,India,Open International University for Alternative Medicines,altmeduniversity.com,
West Bengal,http://www.altmedworld.net/,IN,India,Indian Board of Alternative Medicine,altmedworld.net,
null,http://www.amity.edu/,IN,India,Amity University,amity.edu,
null,http://www.amrita.edu/,IN,India,Amrita Vishwa Vidyapeetham (Deemed University),amrita.edu,
null,http://www.amtuni.com/,IN,India,Amravati University,amtuni.com,
null,http://www.amu.ac.in/,IN,India,Aligarh Muslim University,amu.ac.in,
null,http://www.andhrauniversity.info/,IN,India,Andhra University,andhrauniversity.info,
null,http://www.angrau.net/,IN,India,Acharya Ranga Agricultural University,angrau.net,
Tamil Nadu,http://www.annamalaiuniversity.ac.in/,IN,India,Annamalai University,annamalaiuniversity.ac.in,
Tamil Nadu,http://www.annauniv.edu.in/,IN,India,Anna University of Technology, Tirunelveli,annauniv.edu.in,
Tamil Nadu,http://www.annauniv.edu/,IN,India,Anna University,annauniv.edu,
Madhya Pradesh,http://www.apsurewa.nic.in/,IN,India,Awadhesh Pratap Singh University,apsurewa.nic.in,
Rajasthan,http://www.aryainstitutejpr.com/,IN,India,ARYA Institute of Engineering & Technology,aryainstitutejpr.com,
null,http://www.assamuniversity.nic.in/,IN,India,Assam University,assamuniversity.nic.in,
null,http://www.ayurveduniversity.com/,IN,India,Gujarat Ayurved University,ayurveduniversity.com,
null,http://www.bamu.net/,IN,India,Dr. Babasaheb Ambedkar Marathwada Universtiy,bamu.net,
null,http://www.bamu.nic.in/,IN,India,Berhampur University,bamu.nic.in,
